AAA001;BFYAAA001CLNT1;20130321-07:54:47;
AAA002;BFYAAA002CLNT1;20130321-08:08:42;
AAA003;BFYAAA003CLNT1;20130321-08:08:43;
AAA004;BFYAAA004CLNT1;20130321-08:08:44;
AAA005;BFYAAA005CLNT1;20130321-08:08:46;
AAA006;BFYAAA006CLNT1;20130321-08:08:47;
AAA007;BFYAAA007CLNT1;20130321-08:08:48;
AAA008;BFYAAA008CLNT1;20130321-08:08:49;
AAA009;BFYAAA009CLNT1;20130321-08:08:50;
AAA010;BFYAAA010CLNT1;20130321-08:08:51;
AAA011;BFYAAA011CLNT1;20130321-08:47:49;
AAA012;BFYAAA012CLNT1;20130321-08:54:13;
AAA013;BFYAAA013CLNT1;20130321-08:57:42;
AAA014;BFYAAA014CLNT1;20130321-09:12:14;
AAA015;BFYAAA015CLNT1;20130321-09:12:15;
AAA016;BFYAAA016CLNT1;20130321-09:12:16;
AAA017;BFYAAA017CLNT1;20130321-09:12:17;
AAA018;BFYAAA018CLNT1;20130321-09:12:18;
AAA019;BFYAAA019CLNT1;20130321-09:12:20;
AAA020;BFYAAA020CLNT1;20130321-09:12:21;
AAA021;BFYAAA021CLNT1;20130321-09:12:22;
AAA022;BFYAAA022CLNT1;20130321-09:12:23;
AAA023;BFYAAA023CLNT1;20130321-09:12:24;
AAA024;BFYAAA024CLNT1;20130321-09:12:25;
AAA025;BFYAAA025CLNT1;20130321-13:30:59;
AAA026;BFYAAA026CLNT1;20130321-13:36:08;
AAA027;BFYAAA027CLNT1;20130321-13:36:09;
AAA028;BFYAAA028CLNT1;20130321-13:36:10;
AAA029;BFYAAA029CLNT1;20130321-13:36:11;
AAA030;BFYAAA030CLNT1;20130321-13:36:12;
AAA031;BFYAAA031CLNT1;20130321-13:36:14;
AAA032;BFYAAA032CLNT1;20130321-13:36:15;
AAA033;BFYAAA033CLNT1;20130321-13:36:16;
AAA034;BFYAAA034CLNT1;20130321-13:36:17;
AAA035;BFYAAA035CLNT1;20130321-13:36:18;
AAA036;BFYAAA036CLNT1;20130321-13:37:18;
AAA037;BFYAAA037CLNT1;20130321-13:37:19;
AAA038;BFYAAA038CLNT1;20130321-13:37:20;
AAA039;BFYAAA039CLNT1;20130321-13:37:21;
AAA040;BFYAAA040CLNT1;20130321-13:37:22;
AAA041;BFYAAA041CLNT1;20130321-13:37:23;
AAA042;BFYAAA042CLNT1;20130321-13:37:25;
AAA043;BFYAAA043CLNT1;20130321-13:37:26;
AAA044;BFYAAA044CLNT1;20130321-13:37:27;
AAA045;BFYAAA045CLNT1;20130321-13:37:28;
AAA046;BFYAAA046CLNT1;20130321-15:02:28;
AAA047;BFYAAA047CLNT1;20130321-15:02:29;
AAA048;BFYAAA048CLNT1;20130321-15:02:31;
AAA049;BFYAAA049CLNT1;20130321-15:02:32;
AAA050;BFYAAA050CLNT1;20130321-15:02:33;
AAA051;BFYAAA051CLNT1;20130321-15:02:34;
AAA052;BFYAAA052CLNT1;20130321-15:02:35;
AAA053;BFYAAA053CLNT1;20130321-15:02:36;
AAA054;BFYAAA054CLNT1;20130321-15:02:37;
AAA055;BFYAAA055CLNT1;20130321-15:02:39;
AAA056;BFYAAA056CLNT1;20130321-15:02:40;
AAA057;BFYAAA057CLNT1;20130321-15:02:41;
AAA058;BFYAAA058CLNT1;20130321-15:06:06;
AAA059;BFYAAA059CLNT1;20130321-15:06:07;
AAA060;BFYAAA060CLNT1;20130321-15:06:08;
AAA061;BFYAAA061CLNT1;20130321-15:06:10;
AAA062;BFYAAA062CLNT1;20130321-15:06:11;
AAA063;BFYAAA063CLNT1;20130321-15:06:12;
AAA064;BFYAAA064CLNT1;20130321-15:06:13;
AAA065;BFYAAA065CLNT1;20130321-15:06:14;
AAA066;BFYAAA066CLNT1;20130321-15:06:15;
AAA067;BFYAAA067CLNT1;20130321-15:06:16;
AAA068;BFYAAA068CLNT1;20130321-15:06:17;
AAA069;BFYAAA069CLNT1;20130321-15:06:19;
AAA070;BFYAAA070CLNT1;20130321-15:08:00;
AAA071;BFYAAA071CLNT1;20130321-15:08:02;
AAA072;BFYAAA072CLNT1;20130321-15:08:03;
AAA073;BFYAAA073CLNT1;20130321-15:08:04;
AAA074;BFYAAA074CLNT1;20130321-15:08:05;
AAA075;BFYAAA075CLNT1;20130321-15:08:06;
AAA076;BFYAAA076CLNT1;20130321-15:08:07;
AAA077;BFYAAA077CLNT1;20130321-15:08:09;
AAA078;BFYAAA078CLNT1;20130321-15:08:10;
AAA079;BFYAAA079CLNT1;20130321-15:08:11;
AAA080;BFYAAA080CLNT1;20130321-15:08:12;
AAA081;BFYAAA081CLNT1;20130321-15:08:13;
AAA082;BFYAAA082CLNT1;20130321-15:13:26;
AAA083;BFYAAA083CLNT1;20130321-15:13:27;
AAA084;BFYAAA084CLNT1;20130321-15:13:28;
AAA086;BFYAAA086CLNT1;20130321-15:13:31;
AAA087;BFYAAA087CLNT1;20130321-15:16:51;
AAA088;BFYAAA088CLNT1;20130321-15:16:52;
AAA089;BFYAAA089CLNT1;20130321-15:16:54;
AAA090;BFYAAA090CLNT1;20130321-15:16:55;
AAA091;BFYAAA091CLNT1;20130321-15:16:56;
AAA092;BFYAAA092CLNT1;20130321-15:16:57;
AAA093;BFYAAA093CLNT1;20130321-15:16:58;
AAA094;BFYAAA094CLNT1;20130321-15:16:59;
AAA095;BFYAAA095CLNT1;20130321-15:17:01;
AAA096;BFYAAA096CLNT1;20130321-15:17:02;
AAA097;BFYAAA097CLNT1;20130321-15:17:03;
AAA098;BFYAAA098CLNT1;20130321-15:17:04;
AAA099;BFYAAA099CLNT1;20130321-15:18:20;
AAA100;BFYAAA100CLNT1;20130321-15:18:21;
AAA101;BFYAAA101CLNT1;20130321-15:18:22;
AAA102;BFYAAA102CLNT1;20130321-15:18:23;
AAA103;BFYAAA103CLNT1;20130321-15:18:25;
AAA104;BFYAAA104CLNT1;20130321-15:18:26;
AAA105;BFYAAA105CLNT1;20130321-15:18:27;
AAA106;BFYAAA106CLNT1;20130321-15:18:28;
AAA107;BFYAAA107CLNT1;20130321-15:18:29;
AAA108;BFYAAA108CLNT1;20130321-15:18:31;
AAA109;BFYAAA109CLNT1;20130321-15:18:32;
AAA110;BFYAAA110CLNT1;20130321-15:18:33;
AAA111;BFYAAA111CLNT1;20130321-15:31:27;
AAA112;BFYAAA112CLNT1;20130321-15:31:27;
AAA113;BFYAAA113CLNT1;20130321-15:31:27;
AAA114;BFYAAA114CLNT1;20130321-15:31:28;
AAA115;BFYAAA115CLNT1;20130321-15:31:30;
AAA116;BFYAAA116CLNT1;20130321-15:31:31;
AAA117;BFYAAA117CLNT1;20130321-15:31:32;
AAA118;BFYAAA118CLNT1;20130321-15:31:33;
AAA119;BFYAAA119CLNT1;20130321-15:31:35;
AAA120;BFYAAA120CLNT1;20130321-15:31:36;
AAA121;BFYAAA121CLNT1;20130321-15:31:37;
AAA122;BFYAAA122CLNT1;20130321-15:31:38;
AAA123;BFYAAA123CLNT1;20130321-15:33:21;
AAA124;BFYAAA124CLNT1;20130321-15:33:22;
AAA125;BFYAAA125CLNT1;20130321-15:33:25;
AAA126;BFYAAA126CLNT1;20130321-15:33:25;
AAA127;BFYAAA127CLNT1;20130321-15:33:26;
AAA128;BFYAAA128CLNT1;20130321-15:33:27;
AAA129;BFYAAA129CLNT1;20130321-15:33:28;
AAA130;BFYAAA130CLNT1;20130321-15:33:29;
