StrategyName|ExDestination|Symbol|SecurityID|Side|Currency|OrderQty|Price|StartTime|EndTime|MinPctVolume|MaxPctVolume|BenchPrice|ExecutionStyle|WouldLevel|WouldDark|AuctionPct|AggregatedStyle|ExcludeAuction|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|10|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|0|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|-1|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|09:00|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|18:00|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100| |16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|08:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|19:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30| |10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|0|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|110|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
5|XPAR|FTE|FR0000133308|1|EUR|100000|100|13:30|16:00|10|20|8.35|3|7|yes|30|yes|1|
