3_Jn}0026	 	ImplementationLongfall	1	80940	B	Aug 23 2010  2:29:24:000PM	Aug 23 2010  2:45:49:000PM	10470	10470	0.0	3MI04T18@S80940@PAlgoBox CHEUVREUX@C:O:890508		Y	1
594860219	1	14	CP1A8N009Z000	20100823-15318849	B	Aug 23 2010  2:29:24:000PM	I	1100.0	19.960000000000001	1100.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594860219	1	14	CP1A8N009Z000	20100823-15318849	B	Aug 23 2010  2:30:40:000PM	Z	784.0	19.960000000000001	0.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594860219	1	14	CP1A8N009Z000	20100823-15318849	B	Aug 23 2010  2:30:40:000PM	Z	316.0	19.960000000000001	784.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594861453	1	14	CP1A8N009_000	20100823-15367370	B	Aug 23 2010  2:30:40:000PM	I	1058.0	19.949999999999999	1058.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594861453	1	14	CP1A8N009_000	20100823-15367370	B	Aug 23 2010  2:31:02:000PM	Z	95.0	19.949999999999999	963.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594861457	1	14	CP1A8N00AE000	20100823-15420693	B	Aug 23 2010  2:31:59:000PM	I	1170.0	19.989999999999998	1170.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594861457	1	14	CP1A8N00AE000	20100823-15420693	B	Aug 23 2010  2:31:59:000PM	Z	170.0	19.98	0.0	R	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594861457	1	14	CP1A8N00AE000	20100823-15420693	B	Aug 23 2010  2:31:59:000PM	Z	1000.0	19.98	170.0	R	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594863822	1	14	CP1A8N009_002	20100823-15485560	B	Aug 23 2010  2:33:17:000PM	U	1178.0	19.969999999999999	1083.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594863822	1	14	CP1A8N009_002	20100823-15485560	B	Aug 23 2010  2:37:14:000PM	Z	1083.0	19.969999999999999	0.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594869116	1	14	CP1A8N00BA000	20100823-15642479	B	Aug 23 2010  2:37:14:000PM	I	1089.0	19.969999999999999	1089.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594869116	1	14	CP1A8N00BA000	20100823-15642479	B	Aug 23 2010  2:37:14:000PM	Z	1089.0	19.969999999999999	0.0	R	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
594869410	1	14	CP1A8N00BC000	20100823-15644580	B	Aug 23 2010  2:37:16:000PM	I	1058.0	19.969999999999999	1058.0	DAY	890508	L	Aug 23 2010 12:00:00:000AM	
594869410	1	14	CP1A8N00BC000	20100823-15644580	B	Aug 23 2010  2:37:36:000PM	Z	13.0	19.969999999999999	1045.0	A	890508	 	Jan  1 1900 12:00:00:000AM	12DC6F2QEFS0
