date,trading_destination_id,price,volume,ask,ask_size,bid,bid_size

28800204465,4#FR0000133308,12.915,1,12.92,8549,12.91,320
28800204492,4#FR0000133308,12.915,115,12.92,8549,12.91,320
28800207186,4#FR0000133308,12.915,150,12.92,8549,12.91,320
28800207800,4#FR0000133308,12.915,150,12.92,8549,12.91,320
28800207823,4#FR0000133308,12.915,150,12.92,8549,12.91,320
28800207845,4#FR0000133308,12.915,50,12.92,8549,12.91,320
28800207886,4#FR0000133308,12.915,107,12.92,8549,12.91,320
28800207930,4#FR0000133308,12.915,43,12.92,8549,12.91,320
28800209387,4#FR0000133308,12.915,30,12.92,8549,12.91,320
28800210255,4#FR0000133308,12.915,10,12.92,8549,12.91,320
28800210305,4#FR0000133308,12.915,768,12.92,8549,12.91,320
28800210351,4#FR0000133308,12.915,12,12.92,8549,12.91,320
28800210398,4#FR0000133308,12.915,118,12.92,8549,12.91,320
28800210443,4#FR0000133308,12.915,62,12.92,8549,12.91,320
28800213484,4#FR0000133308,12.915,100,12.92,8549,12.91,320
28800213528,4#FR0000133308,12.915,1,12.92,8549,12.91,320
28800213572,4#FR0000133308,12.915,50,12.92,8549,12.91,320
28800213617,4#FR0000133308,12.915,3311,12.92,8549,12.91,320
28800213639,4#FR0000133308,12.915,73,12.92,8549,12.91,320
28800213681,4#FR0000133308,12.915,60,12.92,8549,12.91,320
28800214205,4#FR0000133308,12.915,350,12.92,8549,12.91,320
28800214255,4#FR0000133308,12.915,200,12.92,8549,12.91,320
28800214302,4#FR0000133308,12.915,3311,12.92,8549,12.91,320
28800214346,4#FR0000133308,12.915,828,12.92,8549,12.91,320
28800218833,4#FR0000133308,12.915,828,12.92,8549,12.91,320
28800218902,4#FR0000133308,12.915,32,12.92,8549,12.91,320
28800218961,4#FR0000133308,12.915,20,12.92,8549,12.91,320
28800219027,4#FR0000133308,12.915,348,12.92,8549,12.91,320
28800219952,4#FR0000133308,12.915,153,12.92,8549,12.91,320
28800219997,4#FR0000133308,12.915,75,12.92,8549,12.91,320
28800220041,4#FR0000133308,12.915,424,12.92,8549,12.91,320
28800220526,4#FR0000133308,12.915,200,12.92,8549,12.91,320
28800220574,4#FR0000133308,12.915,9,12.92,8549,12.91,320
28800220625,4#FR0000133308,12.915,1790,12.92,8549,12.91,320
28800220681,4#FR0000133308,12.915,2452,12.92,8549,12.91,320
28800222723,4#FR0000133308,12.915,469,12.92,8549,12.91,320
28800222818,4#FR0000133308,12.915,115,12.92,8549,12.91,320
28800222862,4#FR0000133308,12.915,175,12.92,8549,12.91,320
28800225091,4#FR0000133308,12.915,3920,12.92,8549,12.91,320
28800225164,4#FR0000133308,12.915,35,12.92,8549,12.91,320
28800225258,4#FR0000133308,12.915,4,12.92,8549,12.91,320
28800225700,4#FR0000133308,12.915,992,12.92,8549,12.91,320
28800225748,4#FR0000133308,12.915,1008,12.92,8549,12.91,320
28800228495,4#FR0000133308,12.915,5600,12.92,8549,12.91,320
28800228809,4#FR0000133308,12.915,492,12.92,8549,12.91,320
28800230206,4#FR0000133308,12.915,5434,12.92,8549,12.91,320
28800230237,4#FR0000133308,12.915,1125,12.92,8549,12.91,320
28800230290,4#FR0000133308,12.915,2798,12.92,8549,12.91,320
28800230334,4#FR0000133308,12.915,4900,12.92,8549,12.91,320
28800230400,4#FR0000133308,12.915,5000,12.92,8549,12.91,320
28800231266,4#FR0000133308,12.915,12,12.92,8549,12.91,320
28800231378,4#FR0000133308,12.915,55,12.92,8549,12.91,320
28800231441,4#FR0000133308,12.915,110,12.92,8549,12.91,320
28800231524,4#FR0000133308,12.915,32,12.92,8549,12.91,320
28800231655,4#FR0000133308,12.915,44,12.92,8549,12.91,320
28800233431,4#FR0000133308,12.915,100,12.92,8549,12.91,320
28800233506,4#FR0000133308,12.915,434,12.92,8549,12.91,320
28800233547,4#FR0000133308,12.915,642,12.92,8549,12.91,320
28800233578,4#FR0000133308,12.915,136,12.92,8549,12.91,320
28800233611,4#FR0000133308,12.915,500,12.92,8549,12.91,320
28800233671,4#FR0000133308,12.915,147,12.92,8549,12.91,320
28800234314,4#FR0000133308,12.915,80,12.92,8549,12.91,320
28800235137,4#FR0000133308,12.915,80,12.92,8549,12.91,320
28800235201,4#FR0000133308,12.915,64,12.92,8549,12.91,320
28800235262,4#FR0000133308,12.915,120,12.92,8549,12.91,320
28800235309,4#FR0000133308,12.915,980,12.92,8549,12.91,320
28800235355,4#FR0000133308,12.915,2737,12.92,8549,12.91,320
28800235428,4#FR0000133308,12.915,317,12.92,8549,12.91,320
28800236801,4#FR0000133308,12.915,60,12.92,8549,12.91,320
28800244850,4#FR0000133308,12.915,300,12.92,8549,12.91,320
28800244891,4#FR0000133308,12.915,500,12.92,8549,12.91,320
28800244931,4#FR0000133308,12.915,23,12.92,8549,12.91,320
